id,attribute_name,definition,model,structured_comment_name,value_syntax,allowed_units,occurance,ontology_link,note
200,sex,physical sex of the host,GSC_MIxS_v3,sex,[male|female|neuter|hermaphrodite|not determined],"","","",""
201,sexual activity,current sexual partner and frequency of sex,GSC_MIxS_v3,sexual_act,partner sex;frequency,"","","",""
202,composite design/sieving (if any),collection design of pooled samples and/or sieve size and amount of sample sieved ,GSC_MIxS_v3,sieving,design name and/or size;amount,"","","",""
203,silicate,concentration of silicate,GSC_MIxS_v3,silicate,measurement value,"","","",""
204,slope aspect,"the direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., NW or 315Â°.  This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.",GSC_MIxS_v3,slope_aspect,measurement value,"","","",""
205,slope gradient,commonly called â€œslope.â€  The angle between ground surface and a horizontal line (in percent).  This is the direction that overland water would flow.  This measure is usually taken with a hand level meter or clinometer. ,GSC_MIxS_v3,slope_gradient,measurement value,"","","",""
206,sludge retention time,the time activated sludge remains in reactor,GSC_MIxS_v3,sludge_retent_time,measurement value,"","","",""
207,smoker,specification of smoking status,GSC_MIxS_v3,smoker,smoking status,"","","",""
208,sodium,sodium concentration,GSC_MIxS_v3,sodium,measurement value,"","","",""
209,soil type,soil series name or other lower-level classification,GSC_MIxS_v3,soil_type,soil type name,"","","",""
210,soil type method,reference or method used in determining soil series name or other lower-level classification,GSC_MIxS_v3,soil_type_meth,"PMID,DOI or url","","","",""
211,solar irradiance,the amount of solar energy that arrives at a specific area of a surface during a specific time interval,GSC_MIxS_v3,solar_irradiance,measurement value,"","","",""
212,soluble inorganic material,"concentration of substances such as ammonia, road-salt, sea-salt, cyanide, hydrogen sulfide, thiocyanates, thiosulfates, etc.",GSC_MIxS_v3,soluble_inorg_mat,soluble inorganic material name;measurement value,"","","",""
213,soluble organic material,"concentration of substances such as urea, fruit sugars, soluble proteins, drugs, pharmaceuticals, etc.",GSC_MIxS_v3,soluble_org_mat,soluble organic material name;measurement value,"","","",""
214,soluble reactive phosphorus,concentration of soluble reactive phosphorus,GSC_MIxS_v3,soluble_react_phosp,measurement value,"","","",""
215,special diet,specification of special diet; can include multiple special diets,GSC_MIxS_v3,special_diet,enumeration,"","","",""
216,standing water regimen,"treatment involving an exposure to standing water during a plant's life span, types can be flood water or standing water; can include multiple regimens",GSC_MIxS_v3,standing_water_regm,standing water type;treatment duration;interval;experimental duration,"","","",""
217,storage conditions (fresh/frozen/other),explain how and for how long the soil sample was stored before DNA extraction.,GSC_MIxS_v3,store_cond,storage condition type;duration,"","","",""
218,study completion status,"specification of study completion status, if no the reason should be specified",GSC_MIxS_v3,study_complt_stat,YES or NO due to (1)adverse event (2) non-compliance (3) lost to follow up (4)other-specify,"","","",""
219,substrate,the growth substrate of the host ,GSC_MIxS_v3,substrate,substrate name,"","","",""
220,sulfate,concentration of sulfate,GSC_MIxS_v3,sulfate,measurement value,"","","",""
221,sulfide,concentration of sulfide,GSC_MIxS_v3,sulfide,measurement value,"","","",""
222,suspended particulate matter,concentration of suspended particulate matter,GSC_MIxS_v3,suspend_part_matter,measurement value,"","","",""
223,suspended solids,"concentration of substances including a wide variety of material, such as silt, decaying plant and animal matter, etc,; can include multiple substances",GSC_MIxS_v3,suspend_solids,suspended solid name;measurement value,"","","",""
224,temperature,temperature of the sample at time of sampling,GSC_MIxS_v3,temp,measurement value,"","","",""
225,tertiary treatment,the process providing a final treatment stage to raise the effluent quality before it is discharged to the receiving environment,GSC_MIxS_v3,tertiary_treatment,tertiary treatment type,"","","",""
226,texture,"the relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.",GSC_MIxS_v3,texture,measurement value,"","","",""
227,texture method,reference or method used in determining soil texture,GSC_MIxS_v3,texture_meth,"PMID,DOI or url","","","",""
228,tidal stage,stage of tide,GSC_MIxS_v3,tidal_stage,enumeration,"","","",""
229,history/tillage,note method(s) used for tilling,GSC_MIxS_v3,tillage,enumeration,"","","",""
230,time since last toothbrushing,specification of the time since last toothbrushing,GSC_MIxS_v3,time_last_toothbrush,timestamp,"","","",""
231,time since last wash,specification of the time since last wash,GSC_MIxS_v3,time_since_last_wash,timestamp,"","","",""
232,tissue culture growth media,description of plant tissue culture growth media used,GSC_MIxS_v3,tiss_cult_growth_med,"PMID,DOI,url or free text","","","",""
233,total carbon,total carbon content,GSC_MIxS_v3,tot_carb,measurement value,"","","",""
234,total depth of water column,measurement of total depth of water column,GSC_MIxS_v3,tot_depth_water_col,measurement value,"","","",""
235,total dissolved nitrogen,"total dissolved nitrogen concentration, reported as nitrogen, measured by: total dissolved nitrogen = NH4 + NO3NO2 + dissolved organic nitrogen",GSC_MIxS_v3,tot_diss_nitro,measurement value,"","","",""
236,total inorganic nitrogen,total inorganic nitrogen content,GSC_MIxS_v3,tot_inorg_nitro,measurement value,"","","",""
237,total mass,"total mass of the host at collection, the unit depends on host",GSC_MIxS_v3,tot_mass,measurement value,"","","",""
238,total N,total nitrogen content of the soil Units of g N/kg soil,GSC_MIxS_v3,tot_n,measurement value,"","","",""
239,total N method,reference or method used in determining the total N,GSC_MIxS_v3,tot_n_meth,"PMID,DOI or url","","","",""
240,total nitrogen,"total nitrogen concentration, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen",GSC_MIxS_v3,tot_nitro,measurement value,"","","",""
241,total organic C method,reference or method used in determining total organic C,GSC_MIxS_v3,tot_org_c_meth,"PMID,DOI or url","","","",""
242,total organic carbon,Definition for soil: total organic C content of the soil units of g C/kg soil. Definition otherwise: total organic carbon content,GSC_MIxS_v3,tot_org_carb,measurement value,"","","",""
243,total particulate carbon,total particulate carbon content,GSC_MIxS_v3,tot_part_carb,measurement value,"","","",""
244,total phosphorus,"total phosphorus concentration, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus. Can also be measured without filtering, reported as phosphorus",GSC_MIxS_v3,tot_phosp,measurement value,"","","",""
245,total phosphate,total amount or concentration of phosphate,GSC_MIxS_v3,tot_phosphate,measurement value,"","","",""
246,travel outside the country in last six months,specification of the countries travelled in the last six months; can include multiple travels,GSC_MIxS_v3,travel_out_six_month,country name,"","","",""
247,turbidity,turbidity measurement,GSC_MIxS_v3,turbidity,measurement value,"","","",""
248,twin sibling presence,specification of twin sibling presence,GSC_MIxS_v3,twin_sibling,presence status,"","","",""
249,urine/collection method,specification of urine collection method,GSC_MIxS_v3,urine_collect_meth,enumeration,"","","",""
250,urogenital disorder,"history of urogenital disorders, can include multiple disorders",GSC_MIxS_v3,urogenit_disord,disorder name,"","","",""
251,urine/urogenital tract disorder,history of urogenitaltract disorders; can include multiple disorders,GSC_MIxS_v3,urogenit_tract_disor,disorder name,"","","",""
252,ventilation rate,ventilation rate of the system in the sampled premises,GSC_MIxS_v3,ventilation_rate,measurement value,"","","",""
253,ventilation type,ventilation system used in the sampled premises,GSC_MIxS_v3,ventilation_type,ventilation type name,"","","",""
254,volatile organic compounds,concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound,GSC_MIxS_v3,volatile_org_comp,volatile organic compound name;measurement value,"","","",""
255,wastewater type,"the origin of wastewater such as human waste, rainfall, storm drains, etc.",GSC_MIxS_v3,wastewater_type,wastewater type name,"","","",""
256,water content,water content measurement,GSC_MIxS_v3,water_content,measurement value,"","","",""
257,water content of soil,water content (g/g or cm3/cm3),GSC_MIxS_v3,water_content_soil,measurement value,"","","",""
258,water content of soil method,reference or method used in determining the water content of soil,GSC_MIxS_v3,water_content_soil_meth,"PMID,DOI or url","","","",""
259,water temperature regimen,information about treatment involving an exposure to water with varying degree of temperature; can include multiple regimens,GSC_MIxS_v3,water_temp_regm,measurement value;treatment duration;interval;experimental duration,"","","",""
260,watering regimen,information about treatment involving an exposure to watering frequencies; can include multiple regimens,GSC_MIxS_v3,watering_regm,measurement value;treatment duration;interval;experimental duration,"","","",""
261,weight loss in last three months,"specification of weight loss in the last three months, if yes should be further specified to include amount of weight loss",GSC_MIxS_v3,weight_loss_3_month,weight loss specification;measurement value,"","","",""
262,wet mass,measurement of wet mass,GSC_MIxS_v3,wet_mass,measurement value,"","","",""
263,wind direction,wind direction is the direction from which a wind originates,GSC_MIxS_v3,wind_direction,wind direction name,"","","",""
264,wind speed,speed of wind measured at the time of sampling,GSC_MIxS_v3,wind_speed,measurement value,"","","",""
265,submitted to insdc,"Depending on the study (large-scale e.g. done with next generation sequencing technology, or small-scale) sequences have to be submitted to SRA (Sequence Read Archive), DRA (DDBJ Read Archive) or via the classical Webin/Sequin systems to Genbank, ENA and DDBJ",GSC_MIxS_v3,submitted_to_insdc,boolean,"",1,"",""
266,investigation type,"Nucleic Acid Sequence Report is the root element of all MIGS/MIMS compliant reports as standardized by Genomic Standards Consortium. This field is either eukaryote,bacteria,virus,plasmid,organelle, metagenome, miens-survey or miens-culture",GSC_MIxS_v3,investigation_type,"eukaryote, bacteria_archaea, plasmid, virus, organelle, metagenome,miens-survey or miens-culture","",1,"",""
267,project name,Name of the project within which the sequencing was organized,GSC_MIxS_v3,project_name,"","",1,"",""
268,experimental factor,"Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v132) terms, please see http://bioportal.bioontology.org/visualize/44641; for a browser of OBI (v1.0) terms please see http://bioportal.bioontology.org/visualize/40832",GSC_MIxS_v3,experimental_factor,text or EFO and/or OBI,"",1,http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=EFOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=POhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
269,geographic location (latitude and longitude),The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system,GSC_MIxS_v3,lat_lon,decimal degrees,"",1,"",""
270,"geographic location (country and/or sea,region)","The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v1.446) (http://bioportal.bioontology.org/visualize/40651)",GSC_MIxS_v3,geo_loc_name,country or sea name (INSDC or GAZ):region(GAZ):specific location name,"",1,http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=GAZhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=EFOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=POhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
271,collection date,"The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant",GSC_MIxS_v3,collection_date,date and time,"",1,"",""
272,environment (biome),"In environmental biome level are the major classes of ecologically similar communities of plants, animals, and other organisms. Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO (v1.53) terms listed under environmental biome can be found from the link: http://bioportal.bioontology.org/visualize/44405/?conceptid=ENVO%3A00000428",GSC_MIxS_v3,biome,EnvO,"",1,http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=GAZhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=EFOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=POhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
273,environment (feature),"Environmental feature level includes geographic environmental features. Examples include: harbor, cliff, or lake. EnvO (v1.53) terms listed under environmental feature can be found from the link: http://bioportal.bioontology.org/visualize/44405/?conceptid=ENVO%3A00002297",GSC_MIxS_v3,feature,EnvO,"",1,http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=GAZhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=EFOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=POhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
274,environment (material),"The environmental material level refers to the matter that was displaced by the sample, prior to the sampling event. Environmental matter terms are generally mass nouns. Examples include: air, soil, or water. EnvO (v1.53) terms listed under environmental matter can be found from the link: http://bioportal.bioontology.org/visualize/44405/?conceptid=ENVO%3A00010483",GSC_MIxS_v3,material,EnvO,"",1,http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=GAZhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=EFOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=POhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
275,environmental package,"MIGS/MIMS/MIENS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported",GSC_MIxS_v3,env_package,CV,"",1,"",""
276,subspecific genetic lineage,"This should provide further information about the genetic distinctness of this lineage by recording additional information i.e biovar, serovar, serotype, biovar, or any relevant genetic typing schemes like Group I plasmid. It can also contain alternative taxonomic information",GSC_MIxS_v3,subspecf_gen_lin,"genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype","",1,"",""
277,ploidy,"The ploidy level of the genome (e.g. allopolyploid, haploid, diploid, triploid, tetraploid). It has implications for the downstream study of duplicated gene and regions of the genomes (and perhaps for difficulties in assembly). For terms, please select terms listed under class ploidy (PATO:001374) of Phenotypic Quality Ontology (PATO), and for a browser of PATO (v1.269) please refer to http://bioportal.bioontology.org/visualize/44601/?conceptid=PATO%3A0001374",GSC_MIxS_v3,ploidy,PATO,"",1,http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=GAZhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=EFOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=POhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
278,number of replicons,"Reports the number of replicons in a nuclear genome of eukaryotes, in the genome of a bacterium or archaea or the number of segments in a segmented virus. Always applied to the haploid chromosome count of a eukaryote",GSC_MIxS_v3,num_replicons,for eukaryotes and bacteria: chromosomes (haploid count); for viruses: segments,"",1,"",""
279,extrachromosomal elements,Do plasmids exist of significant phenotypic consequence (e.g. ones that determine virulence or antibiotic resistance). Megaplasmids? Other plasmids (borrelia has 15+ plasmids),GSC_MIxS_v3,extrachrom_elements,number of extrachromosmal elements,"",1,"",""
280,estimated size,The estimated size of the genome prior to sequencing. Of particular importance in the sequencing of (eukaryotic) genome which could remain in draft form for a long or unspecified period.,GSC_MIxS_v3,estimated_size,number of base pairs,"",1,"",""
281,reference for biomaterial,"primary publication if isolated before genome publication; otherwise, primary genome report",GSC_MIxS_v3,ref_biomaterial,"PMID, DOI or URL","",1,"",""
282,source material identifiers,"The name of the culture collection, holder of the voucher or an institution. Could enumerate a list of common resources, just as the American Type Culture Collection (ATCC), German Collection of Microorganisms and Cell Cultures (DSMZ) etc. Can select not deposited",GSC_MIxS_v3,source_mat_id,"for cultures of microorganisms: identifiers for two culture collections; for specimens (e.g., organelles and Eukarya): voucher condition and location [CV]","",m,"",""
283,known pathogenicity,To what is the entity pathogenic. ,GSC_MIxS_v3,pathogenicity,CV,"",1,"",""
284,observed biotic relationship,Is it free-living or in a host and if the latter what type of relationship is observed,GSC_MIxS_v3,biotic_relationship,enumeration,"",1,"",""
285,specific host,"If there is a host involved, please provide its taxid (or environmental if not actually isolated from the dead or alive host - i.e. pathogen could be isolated from a swipe of a bench etc) and report whether it is a laboratory or natural host). From this we can calculate any number of groupings of hosts (e.g. animal vs plant, all fish hosts, etc)",GSC_MIxS_v3,specific_host,"host taxid, unknown, environmental","",1,"",""
286,host specificity or range,The NCBI taxonomy identifier of the specific host if it is known,GSC_MIxS_v3,host_spec_range,NCBI taxid,"",1,"",""
287,health or disease status of specific host at time of collection,"Health or disease status of specific host at time of collection. This field accepts PATO (v1.269) terms, for a browser please see http://bioportal.bioontology.org/visualize/44601",GSC_MIxS_v3,health_disease_stat,PATO,"",1,http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=GAZhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=EFOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=POhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
288,trophic level,Trophic levels are the feeding position in a food chain. Microbes can be a range of producers (e.g. chemolithotroph),GSC_MIxS_v3,trophic_level,enumeration,"",1,"",""
289,propagation,"This field is specific to different taxa. For phages: lytic/lysogenic, for plasmids: incompatibility group (Note: there is the strong opinion to name phage propagation obligately lytic or temperate, therefore we also give this choice",GSC_MIxS_v3,propagation,"for virus: lytic, lysogenic, temperate, obligately lytic; for plasmid: incompatibility group; for eukaryote: asexual, sexual) [CV","",1,"",""
290,encoded traits,"Should include key traits like antibiotic resistance or xenobiotic degradation phenotypes for plasmids, converting genes for phage",GSC_MIxS_v3,encoded_traits,for plasmid: antibiotic resistance; for phage: converting genes,"",1,"",""
291,relationship to oxygen,"Is this organism an aerobe, anaerobe? Please note that aerobic and anaerobic are valid descriptors for microbial environments",GSC_MIxS_v3,rel_to_oxygen,enumeration,"",1,"",""
292,isolation and growth condition,"Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material",GSC_MIxS_v3,isol_growth_condt,"PMID,DOI or URL","",1,"",""
293,sample collection device or method,The method or deviced employed for collecting the sample,GSC_MIxS_v3,samp_collect_device,type name,"",1,"",""
294,sample material processing,"Any processing applied to the sample during or after retrieving the sample from environment. This field accepts OBI, for a browser of OBI (v1.0) terms please see http://bioportal.bioontology.org/visualize/40832",GSC_MIxS_v3,samp_mat_process,text or OBI,"",1,http://bioportal.bioontology.org/ontologies/40832?p=termshttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=ENVOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=GAZhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=EFOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=POhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
295,amount or size of sample collected,"Amount or size of sample (volume, mass or area) that was collected",GSC_MIxS_v3,samp_size,measurement value,"",1,"",""
296,nucleic acid extraction,"Link to a literature reference, electronic resource or a standard operating procedure (SOP)",GSC_MIxS_v3,nucl_acid_ext,"PMID, DOI or URL","",1,"",""
297,nucleic acid amplification,"Link to a literature reference, electronic resource or a standard operating procedure (SOP)",GSC_MIxS_v3,nucl_acid_amp,reference to amplification method; clean-up method,"",1,"",""
298,library size,Total number of clones in the library prepared for the project,GSC_MIxS_v3,lib_size,number of clones,"",1,"",""
299,library reads sequenced,Total number of clones sequenced from the library,GSC_MIxS_v3,lib_reads_seqd,number of reads sequenced,"",1,"",""
300,library construction method,Library construction method used for clone libraries,GSC_MIxS_v3,lib_const_meth,library construction method,"",1,"",""
301,library vector,Cloning vector type(s) used in construction of libraries,GSC_MIxS_v3,lib_vector,vector,"",1,"",""
302,library screening strategy,Specific enrichment or screening methods applied before and/or after creating clone libraries,GSC_MIxS_v3,lib_screen,screening strategy name,"",1,"",""
303,multiplex identifiers,"Molecular barcodes, called Multiplex Identifiers (MIDs), that are used to specifically tag unique samples in a sequencing run. Sequence should be reported in uppercase letters",GSC_MIxS_v3,mid,multiplex identifier sequence,"",1,"",""
304,adapters,Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters,GSC_MIxS_v3,adapters,adapter A and B sequence,"",1,"",""
305,sequencing method,"Sequencing method used; e.g. Sanger, pyrosequencing, ABI-solid",GSC_MIxS_v3,seq_meth,"","",1,"",""
306,assembly,How was the assembly done (e.g. with a text based assembler like phrap or a flowgram assembler); estimated error rate associated with the finished sequences (e.g. error rate of 1 in 1000 bp); and the method of calculation,GSC_MIxS_v3,assembly,assembly method; estimated error rate; method of calculation,"",1,"",""
307,assembly name,Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community,GSC_MIxS_v3,assembly_name,name and version of assemby,"",1,"",""
308,finishing strategy,"Was the genome project intended to produce a complete or draft genome, Coverage, the fold coverage of the sequencing expressed as 2x, 3x, 18x  etc, and how many contigs were produced for the genome",GSC_MIxS_v3,finishing_strategy,status; coverage; number of contigs,"",1,"",""
309,annotation source,For cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter,GSC_MIxS_v3,annot_source,annotation source description,"",1,"",""
310,relevant electronic resources,"","",url,URL,"",m,"",""
311,relevant standard operating procedures,"Standard operating procedures used in assembly and/or annotation of genomes, metagenomes or environmental sequences","",sop,reference to SOP,"",m,"",""
312,common name,"common name of the sampled species, e.g. human","",common_name,common name,"",m,"",""
313,anomynised name,"","",anomynised_name,anomynised name,"",1,"",""
314,funding source,"","",fundref,from FundRef registry http://www.crossref.org/fundref/,"",m,"",""
315,tissue type,UBERON http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=UBERON,"",tissue_type,UBERON http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=UBERON,"",m,http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=UBERON,""
316,alternative names,the list of alternative identifiers used for this sample,"",alternative_names,"","",m,"",""
317,taxonomic validation,short description of any validation of species asignation done,"",taxonomic_validation,"","",m,"",""
318,sample source,"additional information about where the sample came from, e.g. the particular zoo/avery/lab name","",sample_source,"","",m,"",""
319,sample contact,the person or institute that can be contacted regarding the sample acquisition,"",sample_contact,"","",m,"",""
320,IUCN Red List,"The IUCN Red List of Threatened Species, is the world's most comprehensive inventory of the global conservation status of biological species. See wikipedia http://en.wikipedia.org/wiki/IUCN_Red_List.  (Extinct (EX) – No known individuals remaining. Extinct in the Wild (EW) – Known only to survive in captivity, or as a naturalized population outside its historic range. Critically Endangered (CR) – Extremely high risk of extinction in the wild. Endangered (EN) – High risk of extinction in the wild. Vulnerable (VU) – High risk of endangerment in the wild. Near Threatened (NT) – Likely to become endangered in the near future. Least Concern (LC) – Lowest risk. Does not qualify for a more at risk category. Widespread and abundant taxa are included in this category. Data Deficient (DD) – Not enough data to make an assessment of its risk of extinction. Not Evaluated (NE) – Has not yet been evaluated against the criteria.)","",red_list,[EX|EW|CR|EN|VU|NT|LC|DD|NE],"",1,"",""
321,antibody details,"""Details about the antibody used, minimaly include manufacturer and catalog number., example Eurogentecc;BI-MECY-0100;070809""","",antibody_details,manufacturer;catalog#;lot#,"",m,"",""
322,alternative accession-BioSample,accession number given to the same sample in the BioSamples database at either NCBI (http://www.ncbi.nlm.nih.gov/biosample/?term=SAMNnnnnnnn ) or EBI (http://www.ebi.ac.uk/ena/data/view/SAMNnnnnnnn ) or DDBJ,"",alt_acc_BioSample,"","",m,"",""
323,alternative accession-BioProject,"""accession number given to the same sample in the BioSamples database at either NCBI (http://www.ncbi.nlm.nih.gov/) or EBI (http://www.ebi.ac.uk/ena/data/view/ ) or DDBJ""","",alt_acc_BioProject,"","",m,"",""
324,collected by,"""name of person attributed with the collection of the wild specimen, uppercase the surname, e.g. Christopher I HUNTER.""","",collected_by,First_name SURNAME,"",1,"",""
325,comment,"""additional comments about the sample provided by submitter""","",comment,"","",1,"",""
326,alternative accession-SRA_project,"""accession number given to the same project in the SRA database at either NCBI (http://www.ncbi.nlm.nih.gov/ ) or EBI (http://www.ebi.ac.uk/ena/data/view/[E,S,D]RPnnnnnnn ) or DDBJ""","",alt_acc_SRA_project,[E|D|S]RPnnnnnn,"",1,"",""
327,alternative accession-SRA_sample,"accession number given to the same sample in the SRA database at either NCBI (http://www.ncbi.nlm.nih.gov/ ) or EBI (http://www.ebi.ac.uk/ena/data/view/[E,S,D]RPnnnnnnn ) or DDBJ","","""alt_acc_SRA_sample""",[E|D|S]RSnnnnnn,"",1,"",""
328,alternative accession-SRA_experiment,"""accession number given to the same experiment in the SRA database at either NCBI (http://www.ncbi.nlm.nih.gov/ ) or EBI (http://www.ebi.ac.uk/ena/data/view/[E,S,D]RPnnnnnnn ) or DDBJ""","","""alt_acc_SRA_exp""","""[E|D|S]REnnnnnn""","",1,"",""
329,alternative accession-SRA_file,"""accession number given to the same file in the SRA database at either NCBI (http://www.ncbi.nlm.nih.gov/ ) or EBI (http://www.ebi.ac.uk/ena/data/view/[E,S,D]RPnnnnnnn ) or DDBJ""","","""alt_acc_SRA_file""","""[E|D|S]RFnnnnnn""","",1,"",""
330,estimated genome size,"""The estimated size of the genome prior to sequencing. Of particular importance in the sequencing of (eukaryotic) genome which could remain in draft form for a long or unspecified period. NB this is the same as GSC MIxS term estimated size but has been renamed in GigaDB to remove confusion of term with estimated size of organism, or environment or any oter size estimate.""","","""est_genome_size""","","""bp, kb, mb, gb""",1,"",""
331,genetic background,"""Define the progenitor of F1/2 organisms produced from well characturised genetic lines.""","","""genetic_background""","","",m,"",""
332,alternative accession-GEO,"""accession number given to the same sample in the GEO database at either NCBI (http://www.ncbi.nlm.nih.gov/ )""","","""alt_acc_GEO""","","",1,"",""
333,insert size-standard deviation,"""standard deviation of insert sizes in sequence library""","","""insert_size_std_dev""","""number""","",1,"",""
334,insert size-mean,"""the average insert size of sequence library""","","""insert_size_mean""","""number""","",m,"",""
